category,cluster,keywords
business,0,"said, yukos, firm, deal, company, shares, oil, russian, bid, offer"
business,1,"mr, said, bank, government, country, countries, world, new, market, firms"
business,2,"economy, growth, said, dollar, prices, economic, rate, year, rates, figures"
business,3,"sales, profits, gm, car, said, year, fiat, 2004, profit, euros"
entertainment,0,"film, series, said, year, tv, book, bbc, new, office, million"
entertainment,1,"said, film, mr, festival, singer, star, man, music, lee, 000"
entertainment,2,"film, best, awards, award, oscar, actress, director, won, actor, oscars"
entertainment,3,"band, music, album, number, chart, best, song, rock, uk, single"
sport,0,"race, olympic, world, athens, indoor, champion, european, athletics, year, holmes"
sport,1,"open, seed, australian, set, roddick, said, federer, hewitt, tennis, match"
sport,2,"england, wales, ireland, rugby, france, nations, robinson, half, scotland, game"
sport,3,"chelsea, club, said, united, arsenal, league, liverpool, game, manager, real"
